,id,name,start_timestamp,sport,league,teams,scores
0,,Cleveland Cavaliers - Golden State Warriors,2015-06-17 01:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Golden State Warriors']","{'Cleveland Cavaliers': 97, 'Golden State Warriors': 105}"
1,,Golden State Warriors - Cleveland Cavaliers,2015-06-15 00:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 104, 'Cleveland Cavaliers': 91}"
2,,Cleveland Cavaliers - Golden State Warriors,2015-06-12 01:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Golden State Warriors']","{'Cleveland Cavaliers': 82, 'Golden State Warriors': 103}"
3,,Cleveland Cavaliers - Golden State Warriors,2015-06-10 01:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Golden State Warriors']","{'Cleveland Cavaliers': 96, 'Golden State Warriors': 91}"
4,,Golden State Warriors - Cleveland Cavaliers,2015-06-08 00:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 93, 'Cleveland Cavaliers': 95}"
5,,Golden State Warriors - Cleveland Cavaliers,2015-06-05 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 108, 'Cleveland Cavaliers': 100}"
6,,Golden State Warriors - Houston Rockets,2015-05-28 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Houston Rockets']","{'Golden State Warriors': 104, 'Houston Rockets': 90}"
7,,Cleveland Cavaliers - Atlanta Hawks,2015-05-27 00:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Atlanta Hawks']","{'Cleveland Cavaliers': 118, 'Atlanta Hawks': 88}"
8,,Houston Rockets - Golden State Warriors,2015-05-26 01:00:00+00:00,basketball,NBA,"['Houston Rockets', 'Golden State Warriors']","{'Houston Rockets': 128, 'Golden State Warriors': 115}"
9,,Cleveland Cavaliers - Atlanta Hawks,2015-05-25 00:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Atlanta Hawks']","{'Cleveland Cavaliers': 114, 'Atlanta Hawks': 111}"
