,id,name,start_timestamp,sport,league,teams,scores
0,,Golden State Warriors - Toronto Raptors,2019-06-14 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Toronto Raptors']","{'Golden State Warriors': 110, 'Toronto Raptors': 114}"
1,,Toronto Raptors - Golden State Warriors,2019-06-11 01:00:00+00:00,basketball,NBA,"['Toronto Raptors', 'Golden State Warriors']","{'Toronto Raptors': 105, 'Golden State Warriors': 106}"
2,,Golden State Warriors - Toronto Raptors,2019-06-08 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Toronto Raptors']","{'Golden State Warriors': 92, 'Toronto Raptors': 105}"
3,,Golden State Warriors - Toronto Raptors,2019-06-06 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Toronto Raptors']","{'Golden State Warriors': 109, 'Toronto Raptors': 123}"
4,,Toronto Raptors - Golden State Warriors,2019-06-03 00:00:00+00:00,basketball,NBA,"['Toronto Raptors', 'Golden State Warriors']","{'Toronto Raptors': 104, 'Golden State Warriors': 109}"
5,,Toronto Raptors - Golden State Warriors,2019-05-31 01:00:00+00:00,basketball,NBA,"['Toronto Raptors', 'Golden State Warriors']","{'Toronto Raptors': 118, 'Golden State Warriors': 109}"
6,,Toronto Raptors - Milwaukee Bucks,2019-05-26 00:30:00+00:00,basketball,NBA,"['Toronto Raptors', 'Milwaukee Bucks']","{'Toronto Raptors': 100, 'Milwaukee Bucks': 94}"
7,,Milwaukee Bucks - Toronto Raptors,2019-05-24 00:30:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Toronto Raptors']","{'Milwaukee Bucks': 99, 'Toronto Raptors': 105}"
8,,Toronto Raptors - Milwaukee Bucks,2019-05-22 00:30:00+00:00,basketball,NBA,"['Toronto Raptors', 'Milwaukee Bucks']","{'Toronto Raptors': 120, 'Milwaukee Bucks': 102}"
9,,Portland Trail Blazers - Golden State Warriors,2019-05-21 01:00:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'Golden State Warriors']","{'Portland Trail Blazers': 117, 'Golden State Warriors': 119}"
