,id,name,start_timestamp,sport,league,teams,scores
0,,Cleveland Cavaliers - Golden State Warriors,2018-06-09 01:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Golden State Warriors']","{'Cleveland Cavaliers': 85, 'Golden State Warriors': 108}"
1,,Cleveland Cavaliers - Golden State Warriors,2018-06-07 01:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Golden State Warriors']","{'Cleveland Cavaliers': 102, 'Golden State Warriors': 110}"
2,,Golden State Warriors - Cleveland Cavaliers,2018-06-04 00:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 122, 'Cleveland Cavaliers': 103}"
3,,Golden State Warriors - Cleveland Cavaliers,2018-06-01 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 124, 'Cleveland Cavaliers': 114}"
4,,Houston Rockets - Golden State Warriors,2018-05-29 01:00:00+00:00,basketball,NBA,"['Houston Rockets', 'Golden State Warriors']","{'Houston Rockets': 92, 'Golden State Warriors': 101}"
5,,Boston Celtics - Cleveland Cavaliers,2018-05-28 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Cleveland Cavaliers']","{'Boston Celtics': 79, 'Cleveland Cavaliers': 87}"
6,,Golden State Warriors - Houston Rockets,2018-05-27 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Houston Rockets']","{'Golden State Warriors': 115, 'Houston Rockets': 86}"
7,,Cleveland Cavaliers - Boston Celtics,2018-05-26 00:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Boston Celtics']","{'Cleveland Cavaliers': 109, 'Boston Celtics': 99}"
8,,Houston Rockets - Golden State Warriors,2018-05-25 01:00:00+00:00,basketball,NBA,"['Houston Rockets', 'Golden State Warriors']","{'Houston Rockets': 98, 'Golden State Warriors': 94}"
9,,Boston Celtics - Cleveland Cavaliers,2018-05-24 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Cleveland Cavaliers']","{'Boston Celtics': 96, 'Cleveland Cavaliers': 83}"
10,,Golden State Warriors - Houston Rockets,2018-05-23 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Houston Rockets']","{'Golden State Warriors': 92, 'Houston Rockets': 95}"
11,,Cleveland Cavaliers - Boston Celtics,2018-05-22 00:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Boston Celtics']","{'Cleveland Cavaliers': 111, 'Boston Celtics': 102}"
12,,Golden State Warriors - Houston Rockets,2018-05-21 00:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Houston Rockets']","{'Golden State Warriors': 126, 'Houston Rockets': 85}"
