,id,name,start_timestamp,sport,league,teams,scores
0,,Los Angeles Lakers - Boston Celtics,2010-06-18 01:00:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Boston Celtics']","{'Los Angeles Lakers': 83, 'Boston Celtics': 79}"
1,,Los Angeles Lakers - Boston Celtics,2010-06-16 01:00:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Boston Celtics']","{'Los Angeles Lakers': 89, 'Boston Celtics': 67}"
2,,Boston Celtics - Los Angeles Lakers,2010-06-14 00:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Los Angeles Lakers']","{'Boston Celtics': 92, 'Los Angeles Lakers': 86}"
3,,Boston Celtics - Los Angeles Lakers,2010-06-11 01:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Los Angeles Lakers']","{'Boston Celtics': 96, 'Los Angeles Lakers': 89}"
4,,Boston Celtics - Los Angeles Lakers,2010-06-09 01:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Los Angeles Lakers']","{'Boston Celtics': 84, 'Los Angeles Lakers': 91}"
5,,Los Angeles Lakers - Boston Celtics,2010-06-07 00:00:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Boston Celtics']","{'Los Angeles Lakers': 94, 'Boston Celtics': 103}"
6,,Los Angeles Lakers - Boston Celtics,2010-06-04 01:00:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Boston Celtics']","{'Los Angeles Lakers': 102, 'Boston Celtics': 89}"
7,,Phoenix Suns - Los Angeles Lakers,2010-05-30 00:30:00+00:00,basketball,NBA,"['Phoenix Suns', 'Los Angeles Lakers']","{'Phoenix Suns': 103, 'Los Angeles Lakers': 111}"
8,,Boston Celtics - Orlando Magic,2010-05-29 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Orlando Magic']","{'Boston Celtics': 96, 'Orlando Magic': 84}"
9,,Los Angeles Lakers - Phoenix Suns,2010-05-28 01:00:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Phoenix Suns']","{'Los Angeles Lakers': 103, 'Phoenix Suns': 101}"
10,,Orlando Magic - Boston Celtics,2010-05-27 00:30:00+00:00,basketball,NBA,"['Orlando Magic', 'Boston Celtics']","{'Orlando Magic': 113, 'Boston Celtics': 92}"
11,,Phoenix Suns - Los Angeles Lakers,2010-05-26 01:00:00+00:00,basketball,NBA,"['Phoenix Suns', 'Los Angeles Lakers']","{'Phoenix Suns': 115, 'Los Angeles Lakers': 106}"
12,,Boston Celtics - Orlando Magic,2010-05-25 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Orlando Magic']","{'Boston Celtics': 92, 'Orlando Magic': 96}"
13,,Phoenix Suns - Los Angeles Lakers,2010-05-24 00:30:00+00:00,basketball,NBA,"['Phoenix Suns', 'Los Angeles Lakers']","{'Phoenix Suns': 118, 'Los Angeles Lakers': 109}"
14,,Boston Celtics - Orlando Magic,2010-05-23 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Orlando Magic']","{'Boston Celtics': 94, 'Orlando Magic': 71}"
15,,Los Angeles Lakers - Phoenix Suns,2010-05-20 01:00:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Phoenix Suns']","{'Los Angeles Lakers': 124, 'Phoenix Suns': 112}"
16,,Orlando Magic - Boston Celtics,2010-05-19 00:30:00+00:00,basketball,NBA,"['Orlando Magic', 'Boston Celtics']","{'Orlando Magic': 92, 'Boston Celtics': 95}"
17,,Los Angeles Lakers - Phoenix Suns,2010-05-18 01:00:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Phoenix Suns']","{'Los Angeles Lakers': 128, 'Phoenix Suns': 107}"
18,,Orlando Magic - Boston Celtics,2010-05-16 19:30:00+00:00,basketball,NBA,"['Orlando Magic', 'Boston Celtics']","{'Orlando Magic': 88, 'Boston Celtics': 92}"
19,,Boston Celtics - Cleveland Cavaliers,2010-05-14 00:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Cleveland Cavaliers']","{'Boston Celtics': 94, 'Cleveland Cavaliers': 85}"
20,,Cleveland Cavaliers - Boston Celtics,2010-05-12 00:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Boston Celtics']","{'Cleveland Cavaliers': 88, 'Boston Celtics': 120}"
21,,Utah Jazz - Los Angeles Lakers,2010-05-11 02:30:00+00:00,basketball,NBA,"['Utah Jazz', 'Los Angeles Lakers']","{'Utah Jazz': 96, 'Los Angeles Lakers': 111}"
22,,Atlanta Hawks - Orlando Magic,2010-05-11 00:00:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Orlando Magic']","{'Atlanta Hawks': 84, 'Orlando Magic': 98}"
23,,San Antonio Spurs - Phoenix Suns,2010-05-10 00:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Phoenix Suns']","{'San Antonio Spurs': 101, 'Phoenix Suns': 107}"
24,,Boston Celtics - Cleveland Cavaliers,2010-05-09 19:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Cleveland Cavaliers']","{'Boston Celtics': 97, 'Cleveland Cavaliers': 87}"
25,,Utah Jazz - Los Angeles Lakers,2010-05-09 00:00:00+00:00,basketball,NBA,"['Utah Jazz', 'Los Angeles Lakers']","{'Utah Jazz': 110, 'Los Angeles Lakers': 111}"
26,,Atlanta Hawks - Orlando Magic,2010-05-08 21:00:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Orlando Magic']","{'Atlanta Hawks': 75, 'Orlando Magic': 105}"
27,,San Antonio Spurs - Phoenix Suns,2010-05-08 01:30:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Phoenix Suns']","{'San Antonio Spurs': 96, 'Phoenix Suns': 110}"
