,id,name,start_timestamp,sport,league,teams,scores
0,,Miami Heat - Dallas Mavericks,2011-06-13 00:00:00+00:00,basketball,NBA,"['Miami Heat', 'Dallas Mavericks']","{'Miami Heat': 95, 'Dallas Mavericks': 105}"
1,,Dallas Mavericks - Miami Heat,2011-06-10 01:00:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Miami Heat']","{'Dallas Mavericks': 112, 'Miami Heat': 103}"
2,,Dallas Mavericks - Miami Heat,2011-06-08 01:00:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Miami Heat']","{'Dallas Mavericks': 86, 'Miami Heat': 83}"
3,,Dallas Mavericks - Miami Heat,2011-06-06 00:00:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Miami Heat']","{'Dallas Mavericks': 86, 'Miami Heat': 88}"
4,,Miami Heat - Dallas Mavericks,2011-06-03 01:00:00+00:00,basketball,NBA,"['Miami Heat', 'Dallas Mavericks']","{'Miami Heat': 93, 'Dallas Mavericks': 95}"
5,,Miami Heat - Dallas Mavericks,2011-06-01 01:00:00+00:00,basketball,NBA,"['Miami Heat', 'Dallas Mavericks']","{'Miami Heat': 92, 'Dallas Mavericks': 84}"
6,,Chicago Bulls - Miami Heat,2011-05-27 00:30:00+00:00,basketball,NBA,"['Chicago Bulls', 'Miami Heat']","{'Chicago Bulls': 80, 'Miami Heat': 83}"
7,,Dallas Mavericks - Oklahoma City Thunder,2011-05-26 01:00:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Oklahoma City Thunder']","{'Dallas Mavericks': 100, 'Oklahoma City Thunder': 96}"
8,,Miami Heat - Chicago Bulls,2011-05-25 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Chicago Bulls']","{'Miami Heat': 101, 'Chicago Bulls': 93}"
9,,Oklahoma City Thunder - Dallas Mavericks,2011-05-24 01:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Dallas Mavericks']","{'Oklahoma City Thunder': 105, 'Dallas Mavericks': 112}"
10,,Miami Heat - Chicago Bulls,2011-05-23 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Chicago Bulls']","{'Miami Heat': 96, 'Chicago Bulls': 85}"
11,,Oklahoma City Thunder - Dallas Mavericks,2011-05-22 01:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Dallas Mavericks']","{'Oklahoma City Thunder': 87, 'Dallas Mavericks': 93}"
12,,Dallas Mavericks - Oklahoma City Thunder,2011-05-20 01:00:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Oklahoma City Thunder']","{'Dallas Mavericks': 100, 'Oklahoma City Thunder': 106}"
13,,Chicago Bulls - Miami Heat,2011-05-19 00:30:00+00:00,basketball,NBA,"['Chicago Bulls', 'Miami Heat']","{'Chicago Bulls': 75, 'Miami Heat': 85}"
14,,Dallas Mavericks - Oklahoma City Thunder,2011-05-18 01:00:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Oklahoma City Thunder']","{'Dallas Mavericks': 121, 'Oklahoma City Thunder': 112}"
15,,Chicago Bulls - Miami Heat,2011-05-16 00:00:00+00:00,basketball,NBA,"['Chicago Bulls', 'Miami Heat']","{'Chicago Bulls': 103, 'Miami Heat': 82}"
16,,Oklahoma City Thunder - Memphis Grizzlies,2011-05-15 19:30:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Memphis Grizzlies']","{'Oklahoma City Thunder': 105, 'Memphis Grizzlies': 90}"
17,,Memphis Grizzlies - Oklahoma City Thunder,2011-05-14 01:00:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'Oklahoma City Thunder']","{'Memphis Grizzlies': 95, 'Oklahoma City Thunder': 83}"
18,,Atlanta Hawks - Chicago Bulls,2011-05-13 00:00:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Chicago Bulls']","{'Atlanta Hawks': 73, 'Chicago Bulls': 93}"
19,,Oklahoma City Thunder - Memphis Grizzlies,2011-05-12 01:30:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Memphis Grizzlies']","{'Oklahoma City Thunder': 99, 'Memphis Grizzlies': 72}"
20,,Miami Heat - Boston Celtics,2011-05-11 23:00:00+00:00,basketball,NBA,"['Miami Heat', 'Boston Celtics']","{'Miami Heat': 97, 'Boston Celtics': 87}"
21,,Chicago Bulls - Atlanta Hawks,2011-05-11 00:00:00+00:00,basketball,NBA,"['Chicago Bulls', 'Atlanta Hawks']","{'Chicago Bulls': 95, 'Atlanta Hawks': 83}"
22,,Memphis Grizzlies - Oklahoma City Thunder,2011-05-10 01:30:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'Oklahoma City Thunder']","{'Memphis Grizzlies': 123, 'Oklahoma City Thunder': 133}"
23,,Boston Celtics - Miami Heat,2011-05-09 23:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Miami Heat']","{'Boston Celtics': 90, 'Miami Heat': 98}"
24,,Atlanta Hawks - Chicago Bulls,2011-05-09 00:00:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Chicago Bulls']","{'Atlanta Hawks': 100, 'Chicago Bulls': 88}"
25,,Dallas Mavericks - Los Angeles Lakers,2011-05-08 19:30:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Los Angeles Lakers']","{'Dallas Mavericks': 122, 'Los Angeles Lakers': 86}"
26,,Boston Celtics - Miami Heat,2011-05-08 00:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Miami Heat']","{'Boston Celtics': 97, 'Miami Heat': 81}"
27,,Memphis Grizzlies - Oklahoma City Thunder,2011-05-07 21:00:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'Oklahoma City Thunder']","{'Memphis Grizzlies': 101, 'Oklahoma City Thunder': 93}"
28,,Dallas Mavericks - Los Angeles Lakers,2011-05-07 01:30:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Los Angeles Lakers']","{'Dallas Mavericks': 98, 'Los Angeles Lakers': 92}"
29,,Atlanta Hawks - Chicago Bulls,2011-05-06 23:00:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Chicago Bulls']","{'Atlanta Hawks': 82, 'Chicago Bulls': 99}"
30,,Los Angeles Lakers - Dallas Mavericks,2011-05-05 02:30:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Dallas Mavericks']","{'Los Angeles Lakers': 81, 'Dallas Mavericks': 93}"
