,id,name,start_timestamp,sport,league,teams,scores
0,,Orlando Magic - Los Angeles Lakers,2009-06-15 00:00:00+00:00,basketball,NBA,"['Orlando Magic', 'Los Angeles Lakers']","{'Orlando Magic': 86, 'Los Angeles Lakers': 99}"
1,,Orlando Magic - Los Angeles Lakers,2009-06-12 01:00:00+00:00,basketball,NBA,"['Orlando Magic', 'Los Angeles Lakers']","{'Orlando Magic': 91, 'Los Angeles Lakers': 99}"
2,,Orlando Magic - Los Angeles Lakers,2009-06-10 01:00:00+00:00,basketball,NBA,"['Orlando Magic', 'Los Angeles Lakers']","{'Orlando Magic': 108, 'Los Angeles Lakers': 104}"
3,,Los Angeles Lakers - Orlando Magic,2009-06-08 00:00:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Orlando Magic']","{'Los Angeles Lakers': 101, 'Orlando Magic': 96}"
4,,Los Angeles Lakers - Orlando Magic,2009-06-05 01:00:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Orlando Magic']","{'Los Angeles Lakers': 100, 'Orlando Magic': 75}"
5,,Orlando Magic - Cleveland Cavaliers,2009-05-31 00:30:00+00:00,basketball,NBA,"['Orlando Magic', 'Cleveland Cavaliers']","{'Orlando Magic': 103, 'Cleveland Cavaliers': 90}"
6,,Denver Nuggets - Los Angeles Lakers,2009-05-30 01:00:00+00:00,basketball,NBA,"['Denver Nuggets', 'Los Angeles Lakers']","{'Denver Nuggets': 92, 'Los Angeles Lakers': 119}"
7,,Cleveland Cavaliers - Orlando Magic,2009-05-29 00:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Orlando Magic']","{'Cleveland Cavaliers': 112, 'Orlando Magic': 102}"
8,,Los Angeles Lakers - Denver Nuggets,2009-05-28 01:00:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Denver Nuggets']","{'Los Angeles Lakers': 103, 'Denver Nuggets': 94}"
9,,Orlando Magic - Cleveland Cavaliers,2009-05-27 00:30:00+00:00,basketball,NBA,"['Orlando Magic', 'Cleveland Cavaliers']","{'Orlando Magic': 116, 'Cleveland Cavaliers': 114}"
10,,Denver Nuggets - Los Angeles Lakers,2009-05-26 01:00:00+00:00,basketball,NBA,"['Denver Nuggets', 'Los Angeles Lakers']","{'Denver Nuggets': 120, 'Los Angeles Lakers': 101}"
11,,Orlando Magic - Cleveland Cavaliers,2009-05-25 00:30:00+00:00,basketball,NBA,"['Orlando Magic', 'Cleveland Cavaliers']","{'Orlando Magic': 99, 'Cleveland Cavaliers': 89}"
12,,Denver Nuggets - Los Angeles Lakers,2009-05-24 00:30:00+00:00,basketball,NBA,"['Denver Nuggets', 'Los Angeles Lakers']","{'Denver Nuggets': 97, 'Los Angeles Lakers': 103}"
13,,Cleveland Cavaliers - Orlando Magic,2009-05-23 00:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Orlando Magic']","{'Cleveland Cavaliers': 96, 'Orlando Magic': 95}"
14,,Los Angeles Lakers - Denver Nuggets,2009-05-22 01:00:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Denver Nuggets']","{'Los Angeles Lakers': 103, 'Denver Nuggets': 106}"
15,,Cleveland Cavaliers - Orlando Magic,2009-05-21 00:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Orlando Magic']","{'Cleveland Cavaliers': 106, 'Orlando Magic': 107}"
16,,Los Angeles Lakers - Denver Nuggets,2009-05-20 01:00:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Denver Nuggets']","{'Los Angeles Lakers': 105, 'Denver Nuggets': 103}"
17,,Boston Celtics - Orlando Magic,2009-05-18 00:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Orlando Magic']","{'Boston Celtics': 82, 'Orlando Magic': 101}"
18,,Los Angeles Lakers - Houston Rockets,2009-05-17 19:30:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Houston Rockets']","{'Los Angeles Lakers': 89, 'Houston Rockets': 70}"
19,,Houston Rockets - Los Angeles Lakers,2009-05-15 01:30:00+00:00,basketball,NBA,"['Houston Rockets', 'Los Angeles Lakers']","{'Houston Rockets': 95, 'Los Angeles Lakers': 80}"
20,,Orlando Magic - Boston Celtics,2009-05-14 23:00:00+00:00,basketball,NBA,"['Orlando Magic', 'Boston Celtics']","{'Orlando Magic': 83, 'Boston Celtics': 75}"
21,,Denver Nuggets - Dallas Mavericks,2009-05-14 01:00:00+00:00,basketball,NBA,"['Denver Nuggets', 'Dallas Mavericks']","{'Denver Nuggets': 124, 'Dallas Mavericks': 110}"
22,,Los Angeles Lakers - Houston Rockets,2009-05-13 02:30:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Houston Rockets']","{'Los Angeles Lakers': 118, 'Houston Rockets': 78}"
23,,Boston Celtics - Orlando Magic,2009-05-13 00:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Orlando Magic']","{'Boston Celtics': 92, 'Orlando Magic': 88}"
24,,Dallas Mavericks - Denver Nuggets,2009-05-12 01:30:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Denver Nuggets']","{'Dallas Mavericks': 119, 'Denver Nuggets': 117}"
25,,Atlanta Hawks - Cleveland Cavaliers,2009-05-11 23:00:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Cleveland Cavaliers']","{'Atlanta Hawks': 74, 'Cleveland Cavaliers': 84}"
26,,Orlando Magic - Boston Celtics,2009-05-11 00:00:00+00:00,basketball,NBA,"['Orlando Magic', 'Boston Celtics']","{'Orlando Magic': 94, 'Boston Celtics': 95}"
27,,Houston Rockets - Los Angeles Lakers,2009-05-10 19:30:00+00:00,basketball,NBA,"['Houston Rockets', 'Los Angeles Lakers']","{'Houston Rockets': 99, 'Los Angeles Lakers': 87}"
28,,Atlanta Hawks - Cleveland Cavaliers,2009-05-10 00:00:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Cleveland Cavaliers']","{'Atlanta Hawks': 82, 'Cleveland Cavaliers': 97}"
29,,Dallas Mavericks - Denver Nuggets,2009-05-09 21:00:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Denver Nuggets']","{'Dallas Mavericks': 105, 'Denver Nuggets': 106}"
