,id,name,start_timestamp,sport,league,teams,scores
0,,San Antonio Spurs - Miami Heat,2014-06-16 00:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Miami Heat']","{'San Antonio Spurs': 104, 'Miami Heat': 87}"
1,,Miami Heat - San Antonio Spurs,2014-06-13 01:00:00+00:00,basketball,NBA,"['Miami Heat', 'San Antonio Spurs']","{'Miami Heat': 86, 'San Antonio Spurs': 107}"
2,,Miami Heat - San Antonio Spurs,2014-06-11 01:00:00+00:00,basketball,NBA,"['Miami Heat', 'San Antonio Spurs']","{'Miami Heat': 92, 'San Antonio Spurs': 111}"
3,,San Antonio Spurs - Miami Heat,2014-06-09 00:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Miami Heat']","{'San Antonio Spurs': 96, 'Miami Heat': 98}"
4,,San Antonio Spurs - Miami Heat,2014-06-06 01:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Miami Heat']","{'San Antonio Spurs': 110, 'Miami Heat': 95}"
5,,Oklahoma City Thunder - San Antonio Spurs,2014-06-01 00:30:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'San Antonio Spurs']","{'Oklahoma City Thunder': 107, 'San Antonio Spurs': 112}"
6,,Miami Heat - Indiana Pacers,2014-05-31 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Indiana Pacers']","{'Miami Heat': 117, 'Indiana Pacers': 92}"
7,,San Antonio Spurs - Oklahoma City Thunder,2014-05-30 01:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Oklahoma City Thunder']","{'San Antonio Spurs': 117, 'Oklahoma City Thunder': 89}"
8,,Indiana Pacers - Miami Heat,2014-05-29 00:30:00+00:00,basketball,NBA,"['Indiana Pacers', 'Miami Heat']","{'Indiana Pacers': 93, 'Miami Heat': 90}"
9,,Oklahoma City Thunder - San Antonio Spurs,2014-05-28 01:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'San Antonio Spurs']","{'Oklahoma City Thunder': 105, 'San Antonio Spurs': 92}"
10,,Miami Heat - Indiana Pacers,2014-05-27 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Indiana Pacers']","{'Miami Heat': 102, 'Indiana Pacers': 90}"
11,,Oklahoma City Thunder - San Antonio Spurs,2014-05-26 00:30:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'San Antonio Spurs']","{'Oklahoma City Thunder': 106, 'San Antonio Spurs': 97}"
12,,Miami Heat - Indiana Pacers,2014-05-25 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Indiana Pacers']","{'Miami Heat': 99, 'Indiana Pacers': 87}"
13,,San Antonio Spurs - Oklahoma City Thunder,2014-05-22 01:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Oklahoma City Thunder']","{'San Antonio Spurs': 112, 'Oklahoma City Thunder': 77}"
14,,Indiana Pacers - Miami Heat,2014-05-21 00:30:00+00:00,basketball,NBA,"['Indiana Pacers', 'Miami Heat']","{'Indiana Pacers': 83, 'Miami Heat': 87}"
15,,San Antonio Spurs - Oklahoma City Thunder,2014-05-20 01:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Oklahoma City Thunder']","{'San Antonio Spurs': 122, 'Oklahoma City Thunder': 105}"
16,,Indiana Pacers - Miami Heat,2014-05-18 19:30:00+00:00,basketball,NBA,"['Indiana Pacers', 'Miami Heat']","{'Indiana Pacers': 107, 'Miami Heat': 96}"
17,,Los Angeles Clippers - Oklahoma City Thunder,2014-05-16 02:30:00+00:00,basketball,NBA,"['Los Angeles Clippers', 'Oklahoma City Thunder']","{'Los Angeles Clippers': 98, 'Oklahoma City Thunder': 104}"
18,,Washington Wizards - Indiana Pacers,2014-05-16 00:00:00+00:00,basketball,NBA,"['Washington Wizards', 'Indiana Pacers']","{'Washington Wizards': 80, 'Indiana Pacers': 93}"
19,,San Antonio Spurs - Portland Trail Blazers,2014-05-15 01:30:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Portland Trail Blazers']","{'San Antonio Spurs': 104, 'Portland Trail Blazers': 82}"
20,,Miami Heat - Brooklyn Nets,2014-05-14 23:00:00+00:00,basketball,NBA,"['Miami Heat', 'Brooklyn Nets']","{'Miami Heat': 96, 'Brooklyn Nets': 94}"
21,,Oklahoma City Thunder - Los Angeles Clippers,2014-05-14 01:30:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Los Angeles Clippers']","{'Oklahoma City Thunder': 105, 'Los Angeles Clippers': 104}"
22,,Indiana Pacers - Washington Wizards,2014-05-13 23:00:00+00:00,basketball,NBA,"['Indiana Pacers', 'Washington Wizards']","{'Indiana Pacers': 79, 'Washington Wizards': 102}"
23,,Portland Trail Blazers - San Antonio Spurs,2014-05-13 02:30:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'San Antonio Spurs']","{'Portland Trail Blazers': 103, 'San Antonio Spurs': 92}"
24,,Brooklyn Nets - Miami Heat,2014-05-13 00:00:00+00:00,basketball,NBA,"['Brooklyn Nets', 'Miami Heat']","{'Brooklyn Nets': 96, 'Miami Heat': 102}"
25,,Washington Wizards - Indiana Pacers,2014-05-12 00:00:00+00:00,basketball,NBA,"['Washington Wizards', 'Indiana Pacers']","{'Washington Wizards': 92, 'Indiana Pacers': 95}"
26,,Los Angeles Clippers - Oklahoma City Thunder,2014-05-11 19:30:00+00:00,basketball,NBA,"['Los Angeles Clippers', 'Oklahoma City Thunder']","{'Los Angeles Clippers': 101, 'Oklahoma City Thunder': 99}"
27,,Portland Trail Blazers - San Antonio Spurs,2014-05-11 02:30:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'San Antonio Spurs']","{'Portland Trail Blazers': 103, 'San Antonio Spurs': 118}"
28,,Brooklyn Nets - Miami Heat,2014-05-11 00:00:00+00:00,basketball,NBA,"['Brooklyn Nets', 'Miami Heat']","{'Brooklyn Nets': 104, 'Miami Heat': 90}"
29,,Los Angeles Clippers - Oklahoma City Thunder,2014-05-10 02:30:00+00:00,basketball,NBA,"['Los Angeles Clippers', 'Oklahoma City Thunder']","{'Los Angeles Clippers': 112, 'Oklahoma City Thunder': 118}"
30,,Washington Wizards - Indiana Pacers,2014-05-10 00:00:00+00:00,basketball,NBA,"['Washington Wizards', 'Indiana Pacers']","{'Washington Wizards': 63, 'Indiana Pacers': 85}"
31,,San Antonio Spurs - Portland Trail Blazers,2014-05-09 01:30:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Portland Trail Blazers']","{'San Antonio Spurs': 114, 'Portland Trail Blazers': 97}"
32,,Miami Heat - Brooklyn Nets,2014-05-08 23:00:00+00:00,basketball,NBA,"['Miami Heat', 'Brooklyn Nets']","{'Miami Heat': 94, 'Brooklyn Nets': 82}"
33,,Oklahoma City Thunder - Los Angeles Clippers,2014-05-08 01:30:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Los Angeles Clippers']","{'Oklahoma City Thunder': 112, 'Los Angeles Clippers': 101}"
34,,Indiana Pacers - Washington Wizards,2014-05-07 23:00:00+00:00,basketball,NBA,"['Indiana Pacers', 'Washington Wizards']","{'Indiana Pacers': 86, 'Washington Wizards': 82}"
35,,San Antonio Spurs - Portland Trail Blazers,2014-05-07 01:30:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Portland Trail Blazers']","{'San Antonio Spurs': 116, 'Portland Trail Blazers': 92}"
36,,Miami Heat - Brooklyn Nets,2014-05-06 23:00:00+00:00,basketball,NBA,"['Miami Heat', 'Brooklyn Nets']","{'Miami Heat': 107, 'Brooklyn Nets': 86}"
37,,Oklahoma City Thunder - Los Angeles Clippers,2014-05-06 01:30:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Los Angeles Clippers']","{'Oklahoma City Thunder': 105, 'Los Angeles Clippers': 122}"
38,,Indiana Pacers - Washington Wizards,2014-05-05 23:00:00+00:00,basketball,NBA,"['Indiana Pacers', 'Washington Wizards']","{'Indiana Pacers': 96, 'Washington Wizards': 102}"
39,,San Antonio Spurs - Dallas Mavericks,2014-05-04 19:30:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Dallas Mavericks']","{'San Antonio Spurs': 119, 'Dallas Mavericks': 96}"
40,,Toronto Raptors - Brooklyn Nets,2014-05-04 17:00:00+00:00,basketball,NBA,"['Toronto Raptors', 'Brooklyn Nets']","{'Toronto Raptors': 103, 'Brooklyn Nets': 104}"
41,,Los Angeles Clippers - Golden State Warriors,2014-05-04 02:30:00+00:00,basketball,NBA,"['Los Angeles Clippers', 'Golden State Warriors']","{'Los Angeles Clippers': 126, 'Golden State Warriors': 121}"
42,,Oklahoma City Thunder - Memphis Grizzlies,2014-05-04 00:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Memphis Grizzlies']","{'Oklahoma City Thunder': 120, 'Memphis Grizzlies': 109}"
43,,Indiana Pacers - Atlanta Hawks,2014-05-03 21:30:00+00:00,basketball,NBA,"['Indiana Pacers', 'Atlanta Hawks']","{'Indiana Pacers': 92, 'Atlanta Hawks': 80}"
44,,Portland Trail Blazers - Houston Rockets,2014-05-03 02:30:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'Houston Rockets']","{'Portland Trail Blazers': 99, 'Houston Rockets': 98}"
45,,Dallas Mavericks - San Antonio Spurs,2014-05-03 00:00:00+00:00,basketball,NBA,"['Dallas Mavericks', 'San Antonio Spurs']","{'Dallas Mavericks': 113, 'San Antonio Spurs': 111}"
46,,Brooklyn Nets - Toronto Raptors,2014-05-02 23:00:00+00:00,basketball,NBA,"['Brooklyn Nets', 'Toronto Raptors']","{'Brooklyn Nets': 97, 'Toronto Raptors': 83}"
47,,Golden State Warriors - Los Angeles Clippers,2014-05-02 02:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Los Angeles Clippers']","{'Golden State Warriors': 100, 'Los Angeles Clippers': 99}"
48,,Memphis Grizzlies - Oklahoma City Thunder,2014-05-02 00:00:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'Oklahoma City Thunder']","{'Memphis Grizzlies': 84, 'Oklahoma City Thunder': 104}"
49,,Atlanta Hawks - Indiana Pacers,2014-05-01 23:00:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Indiana Pacers']","{'Atlanta Hawks': 88, 'Indiana Pacers': 95}"
50,,Houston Rockets - Portland Trail Blazers,2014-05-01 01:30:00+00:00,basketball,NBA,"['Houston Rockets', 'Portland Trail Blazers']","{'Houston Rockets': 108, 'Portland Trail Blazers': 98}"
51,,Toronto Raptors - Brooklyn Nets,2014-04-30 23:30:00+00:00,basketball,NBA,"['Toronto Raptors', 'Brooklyn Nets']","{'Toronto Raptors': 115, 'Brooklyn Nets': 113}"
52,,San Antonio Spurs - Dallas Mavericks,2014-04-30 23:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Dallas Mavericks']","{'San Antonio Spurs': 109, 'Dallas Mavericks': 103}"
53,,Los Angeles Clippers - Golden State Warriors,2014-04-30 02:30:00+00:00,basketball,NBA,"['Los Angeles Clippers', 'Golden State Warriors']","{'Los Angeles Clippers': 113, 'Golden State Warriors': 103}"
54,,Oklahoma City Thunder - Memphis Grizzlies,2014-04-30 01:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Memphis Grizzlies']","{'Oklahoma City Thunder': 99, 'Memphis Grizzlies': 100}"
55,,Chicago Bulls - Washington Wizards,2014-04-30 00:00:00+00:00,basketball,NBA,"['Chicago Bulls', 'Washington Wizards']","{'Chicago Bulls': 69, 'Washington Wizards': 75}"
56,,Dallas Mavericks - San Antonio Spurs,2014-04-29 01:30:00+00:00,basketball,NBA,"['Dallas Mavericks', 'San Antonio Spurs']","{'Dallas Mavericks': 89, 'San Antonio Spurs': 93}"
