,id,name,start_timestamp,sport,league,teams,scores
0,,Miami Heat - Oklahoma City Thunder,2012-06-22 01:00:00+00:00,basketball,NBA,"['Miami Heat', 'Oklahoma City Thunder']","{'Miami Heat': 121, 'Oklahoma City Thunder': 106}"
1,,Miami Heat - Oklahoma City Thunder,2012-06-20 01:00:00+00:00,basketball,NBA,"['Miami Heat', 'Oklahoma City Thunder']","{'Miami Heat': 104, 'Oklahoma City Thunder': 98}"
2,,Miami Heat - Oklahoma City Thunder,2012-06-18 00:00:00+00:00,basketball,NBA,"['Miami Heat', 'Oklahoma City Thunder']","{'Miami Heat': 91, 'Oklahoma City Thunder': 85}"
3,,Oklahoma City Thunder - Miami Heat,2012-06-15 01:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Miami Heat']","{'Oklahoma City Thunder': 96, 'Miami Heat': 100}"
4,,Oklahoma City Thunder - Miami Heat,2012-06-13 01:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Miami Heat']","{'Oklahoma City Thunder': 105, 'Miami Heat': 94}"
5,,Miami Heat - Boston Celtics,2012-06-10 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Boston Celtics']","{'Miami Heat': 101, 'Boston Celtics': 88}"
6,,Boston Celtics - Miami Heat,2012-06-08 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Miami Heat']","{'Boston Celtics': 79, 'Miami Heat': 98}"
7,,Oklahoma City Thunder - San Antonio Spurs,2012-06-07 01:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'San Antonio Spurs']","{'Oklahoma City Thunder': 107, 'San Antonio Spurs': 99}"
8,,Miami Heat - Boston Celtics,2012-06-06 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Boston Celtics']","{'Miami Heat': 90, 'Boston Celtics': 94}"
9,,San Antonio Spurs - Oklahoma City Thunder,2012-06-05 01:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Oklahoma City Thunder']","{'San Antonio Spurs': 103, 'Oklahoma City Thunder': 108}"
10,,Boston Celtics - Miami Heat,2012-06-04 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Miami Heat']","{'Boston Celtics': 93, 'Miami Heat': 91}"
11,,Oklahoma City Thunder - San Antonio Spurs,2012-06-03 00:30:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'San Antonio Spurs']","{'Oklahoma City Thunder': 109, 'San Antonio Spurs': 103}"
12,,Boston Celtics - Miami Heat,2012-06-02 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Miami Heat']","{'Boston Celtics': 101, 'Miami Heat': 91}"
13,,Oklahoma City Thunder - San Antonio Spurs,2012-06-01 01:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'San Antonio Spurs']","{'Oklahoma City Thunder': 102, 'San Antonio Spurs': 82}"
14,,Miami Heat - Boston Celtics,2012-05-31 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Boston Celtics']","{'Miami Heat': 115, 'Boston Celtics': 111}"
15,,San Antonio Spurs - Oklahoma City Thunder,2012-05-30 01:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Oklahoma City Thunder']","{'San Antonio Spurs': 120, 'Oklahoma City Thunder': 111}"
16,,Miami Heat - Boston Celtics,2012-05-29 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Boston Celtics']","{'Miami Heat': 93, 'Boston Celtics': 79}"
17,,San Antonio Spurs - Oklahoma City Thunder,2012-05-28 00:30:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Oklahoma City Thunder']","{'San Antonio Spurs': 101, 'Oklahoma City Thunder': 98}"
18,,Boston Celtics - Philadelphia 76ers,2012-05-27 00:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Philadelphia 76ers']","{'Boston Celtics': 85, 'Philadelphia 76ers': 75}"
19,,Indiana Pacers - Miami Heat,2012-05-25 00:00:00+00:00,basketball,NBA,"['Indiana Pacers', 'Miami Heat']","{'Indiana Pacers': 93, 'Miami Heat': 105}"
20,,Philadelphia 76ers - Boston Celtics,2012-05-24 00:00:00+00:00,basketball,NBA,"['Philadelphia 76ers', 'Boston Celtics']","{'Philadelphia 76ers': 82, 'Boston Celtics': 75}"
