,id,name,start_timestamp,sport,league,teams,scores
0,,Golden State Warriors - Cleveland Cavaliers,2016-06-20 00:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 89, 'Cleveland Cavaliers': 93}"
1,,Cleveland Cavaliers - Golden State Warriors,2016-06-17 01:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Golden State Warriors']","{'Cleveland Cavaliers': 115, 'Golden State Warriors': 101}"
2,,Golden State Warriors - Cleveland Cavaliers,2016-06-14 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 97, 'Cleveland Cavaliers': 112}"
3,,Cleveland Cavaliers - Golden State Warriors,2016-06-11 01:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Golden State Warriors']","{'Cleveland Cavaliers': 97, 'Golden State Warriors': 108}"
4,,Cleveland Cavaliers - Golden State Warriors,2016-06-09 01:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Golden State Warriors']","{'Cleveland Cavaliers': 120, 'Golden State Warriors': 90}"
5,,Golden State Warriors - Cleveland Cavaliers,2016-06-06 00:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 110, 'Cleveland Cavaliers': 77}"
6,,Golden State Warriors - Cleveland Cavaliers,2016-06-03 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Cleveland Cavaliers']","{'Golden State Warriors': 104, 'Cleveland Cavaliers': 89}"
7,,Golden State Warriors - Oklahoma City Thunder,2016-05-31 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Oklahoma City Thunder']","{'Golden State Warriors': 96, 'Oklahoma City Thunder': 88}"
8,,Oklahoma City Thunder - Golden State Warriors,2016-05-29 01:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Golden State Warriors']","{'Oklahoma City Thunder': 101, 'Golden State Warriors': 108}"
9,,Toronto Raptors - Cleveland Cavaliers,2016-05-28 00:30:00+00:00,basketball,NBA,"['Toronto Raptors', 'Cleveland Cavaliers']","{'Toronto Raptors': 87, 'Cleveland Cavaliers': 113}"
10,,Golden State Warriors - Oklahoma City Thunder,2016-05-27 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Oklahoma City Thunder']","{'Golden State Warriors': 120, 'Oklahoma City Thunder': 111}"
11,,Cleveland Cavaliers - Toronto Raptors,2016-05-26 00:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Toronto Raptors']","{'Cleveland Cavaliers': 116, 'Toronto Raptors': 78}"
12,,Oklahoma City Thunder - Golden State Warriors,2016-05-25 01:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Golden State Warriors']","{'Oklahoma City Thunder': 118, 'Golden State Warriors': 94}"
13,,Toronto Raptors - Cleveland Cavaliers,2016-05-24 00:30:00+00:00,basketball,NBA,"['Toronto Raptors', 'Cleveland Cavaliers']","{'Toronto Raptors': 105, 'Cleveland Cavaliers': 99}"
14,,Oklahoma City Thunder - Golden State Warriors,2016-05-23 00:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'Golden State Warriors']","{'Oklahoma City Thunder': 133, 'Golden State Warriors': 105}"
15,,Toronto Raptors - Cleveland Cavaliers,2016-05-22 00:30:00+00:00,basketball,NBA,"['Toronto Raptors', 'Cleveland Cavaliers']","{'Toronto Raptors': 99, 'Cleveland Cavaliers': 84}"
16,,Cleveland Cavaliers - Toronto Raptors,2016-05-20 00:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Toronto Raptors']","{'Cleveland Cavaliers': 108, 'Toronto Raptors': 89}"
17,,Golden State Warriors - Oklahoma City Thunder,2016-05-19 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Oklahoma City Thunder']","{'Golden State Warriors': 118, 'Oklahoma City Thunder': 91}"
18,,Cleveland Cavaliers - Toronto Raptors,2016-05-18 00:30:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Toronto Raptors']","{'Cleveland Cavaliers': 115, 'Toronto Raptors': 84}"
19,,Golden State Warriors - Oklahoma City Thunder,2016-05-17 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Oklahoma City Thunder']","{'Golden State Warriors': 102, 'Oklahoma City Thunder': 108}"
20,,Toronto Raptors - Miami Heat,2016-05-15 19:30:00+00:00,basketball,NBA,"['Toronto Raptors', 'Miami Heat']","{'Toronto Raptors': 116, 'Miami Heat': 89}"
21,,Miami Heat - Toronto Raptors,2016-05-14 00:00:00+00:00,basketball,NBA,"['Miami Heat', 'Toronto Raptors']","{'Miami Heat': 103, 'Toronto Raptors': 91}"
22,,Oklahoma City Thunder - San Antonio Spurs,2016-05-13 00:30:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'San Antonio Spurs']","{'Oklahoma City Thunder': 113, 'San Antonio Spurs': 99}"
23,,Golden State Warriors - Portland Trail Blazers,2016-05-12 02:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Portland Trail Blazers']","{'Golden State Warriors': 125, 'Portland Trail Blazers': 121}"
24,,Toronto Raptors - Miami Heat,2016-05-12 00:00:00+00:00,basketball,NBA,"['Toronto Raptors', 'Miami Heat']","{'Toronto Raptors': 99, 'Miami Heat': 91}"
25,,San Antonio Spurs - Oklahoma City Thunder,2016-05-11 00:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Oklahoma City Thunder']","{'San Antonio Spurs': 91, 'Oklahoma City Thunder': 95}"
26,,Portland Trail Blazers - Golden State Warriors,2016-05-10 02:30:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'Golden State Warriors']","{'Portland Trail Blazers': 125, 'Golden State Warriors': 132}"
27,,Miami Heat - Toronto Raptors,2016-05-10 00:00:00+00:00,basketball,NBA,"['Miami Heat', 'Toronto Raptors']","{'Miami Heat': 94, 'Toronto Raptors': 87}"
28,,Oklahoma City Thunder - San Antonio Spurs,2016-05-09 00:00:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'San Antonio Spurs']","{'Oklahoma City Thunder': 111, 'San Antonio Spurs': 97}"
29,,Atlanta Hawks - Cleveland Cavaliers,2016-05-08 19:30:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Cleveland Cavaliers']","{'Atlanta Hawks': 99, 'Cleveland Cavaliers': 100}"
30,,Portland Trail Blazers - Golden State Warriors,2016-05-08 00:30:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'Golden State Warriors']","{'Portland Trail Blazers': 120, 'Golden State Warriors': 108}"
31,,Miami Heat - Toronto Raptors,2016-05-07 21:00:00+00:00,basketball,NBA,"['Miami Heat', 'Toronto Raptors']","{'Miami Heat': 91, 'Toronto Raptors': 95}"
32,,Oklahoma City Thunder - San Antonio Spurs,2016-05-07 01:30:00+00:00,basketball,NBA,"['Oklahoma City Thunder', 'San Antonio Spurs']","{'Oklahoma City Thunder': 96, 'San Antonio Spurs': 100}"
33,,Atlanta Hawks - Cleveland Cavaliers,2016-05-06 23:00:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Cleveland Cavaliers']","{'Atlanta Hawks': 108, 'Cleveland Cavaliers': 121}"
34,,Toronto Raptors - Miami Heat,2016-05-06 00:00:00+00:00,basketball,NBA,"['Toronto Raptors', 'Miami Heat']","{'Toronto Raptors': 96, 'Miami Heat': 92}"
35,,Cleveland Cavaliers - Atlanta Hawks,2016-05-05 00:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Atlanta Hawks']","{'Cleveland Cavaliers': 123, 'Atlanta Hawks': 98}"
36,,Golden State Warriors - Portland Trail Blazers,2016-05-04 02:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Portland Trail Blazers']","{'Golden State Warriors': 110, 'Portland Trail Blazers': 99}"
37,,Toronto Raptors - Miami Heat,2016-05-04 00:00:00+00:00,basketball,NBA,"['Toronto Raptors', 'Miami Heat']","{'Toronto Raptors': 96, 'Miami Heat': 102}"
38,,San Antonio Spurs - Oklahoma City Thunder,2016-05-03 01:30:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Oklahoma City Thunder']","{'San Antonio Spurs': 97, 'Oklahoma City Thunder': 98}"
39,,Cleveland Cavaliers - Atlanta Hawks,2016-05-02 23:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Atlanta Hawks']","{'Cleveland Cavaliers': 104, 'Atlanta Hawks': 93}"
