,id,name,start_timestamp,sport,league,teams,scores
0,,Miami Heat - San Antonio Spurs,2013-06-21 01:00:00+00:00,basketball,NBA,"['Miami Heat', 'San Antonio Spurs']","{'Miami Heat': 95, 'San Antonio Spurs': 88}"
1,,Miami Heat - San Antonio Spurs,2013-06-19 01:00:00+00:00,basketball,NBA,"['Miami Heat', 'San Antonio Spurs']","{'Miami Heat': 103, 'San Antonio Spurs': 100}"
2,,San Antonio Spurs - Miami Heat,2013-06-17 00:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Miami Heat']","{'San Antonio Spurs': 114, 'Miami Heat': 104}"
3,,San Antonio Spurs - Miami Heat,2013-06-14 01:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Miami Heat']","{'San Antonio Spurs': 93, 'Miami Heat': 109}"
4,,San Antonio Spurs - Miami Heat,2013-06-12 01:00:00+00:00,basketball,NBA,"['San Antonio Spurs', 'Miami Heat']","{'San Antonio Spurs': 113, 'Miami Heat': 77}"
5,,Miami Heat - San Antonio Spurs,2013-06-10 00:00:00+00:00,basketball,NBA,"['Miami Heat', 'San Antonio Spurs']","{'Miami Heat': 103, 'San Antonio Spurs': 84}"
6,,Miami Heat - San Antonio Spurs,2013-06-07 01:00:00+00:00,basketball,NBA,"['Miami Heat', 'San Antonio Spurs']","{'Miami Heat': 88, 'San Antonio Spurs': 92}"
7,,Miami Heat - Indiana Pacers,2013-06-04 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Indiana Pacers']","{'Miami Heat': 99, 'Indiana Pacers': 76}"
8,,Indiana Pacers - Miami Heat,2013-06-02 00:30:00+00:00,basketball,NBA,"['Indiana Pacers', 'Miami Heat']","{'Indiana Pacers': 91, 'Miami Heat': 77}"
9,,Miami Heat - Indiana Pacers,2013-05-31 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Indiana Pacers']","{'Miami Heat': 90, 'Indiana Pacers': 79}"
10,,Indiana Pacers - Miami Heat,2013-05-29 00:30:00+00:00,basketball,NBA,"['Indiana Pacers', 'Miami Heat']","{'Indiana Pacers': 99, 'Miami Heat': 92}"
11,,Memphis Grizzlies - San Antonio Spurs,2013-05-28 01:00:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'San Antonio Spurs']","{'Memphis Grizzlies': 86, 'San Antonio Spurs': 93}"
12,,Indiana Pacers - Miami Heat,2013-05-27 00:30:00+00:00,basketball,NBA,"['Indiana Pacers', 'Miami Heat']","{'Indiana Pacers': 96, 'Miami Heat': 114}"
13,,Memphis Grizzlies - San Antonio Spurs,2013-05-26 01:00:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'San Antonio Spurs']","{'Memphis Grizzlies': 93, 'San Antonio Spurs': 104}"
14,,Miami Heat - Indiana Pacers,2013-05-25 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Indiana Pacers']","{'Miami Heat': 93, 'Indiana Pacers': 97}"
