,id,name,start_timestamp,sport,league,teams,scores
0,,Milwaukee Bucks - Phoenix Suns,2021-07-21 01:00:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Phoenix Suns']","{'Milwaukee Bucks': 105, 'Phoenix Suns': 98}"
1,,Phoenix Suns - Milwaukee Bucks,2021-07-18 01:00:00+00:00,basketball,NBA,"['Phoenix Suns', 'Milwaukee Bucks']","{'Phoenix Suns': 119, 'Milwaukee Bucks': 123}"
2,,Milwaukee Bucks - Phoenix Suns,2021-07-15 01:00:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Phoenix Suns']","{'Milwaukee Bucks': 109, 'Phoenix Suns': 103}"
3,,Milwaukee Bucks - Phoenix Suns,2021-07-12 00:00:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Phoenix Suns']","{'Milwaukee Bucks': 120, 'Phoenix Suns': 100}"
4,,Phoenix Suns - Milwaukee Bucks,2021-07-09 01:00:00+00:00,basketball,NBA,"['Phoenix Suns', 'Milwaukee Bucks']","{'Phoenix Suns': 118, 'Milwaukee Bucks': 108}"
5,,Phoenix Suns - Milwaukee Bucks,2021-07-07 01:00:00+00:00,basketball,NBA,"['Phoenix Suns', 'Milwaukee Bucks']","{'Phoenix Suns': 118, 'Milwaukee Bucks': 105}"
6,,Atlanta Hawks - Milwaukee Bucks,2021-07-04 00:30:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Milwaukee Bucks']","{'Atlanta Hawks': 107, 'Milwaukee Bucks': 118}"
7,,Milwaukee Bucks - Atlanta Hawks,2021-07-02 00:30:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Atlanta Hawks']","{'Milwaukee Bucks': 123, 'Atlanta Hawks': 112}"
8,,Los Angeles Clippers - Phoenix Suns,2021-07-01 01:00:00+00:00,basketball,NBA,"['Los Angeles Clippers', 'Phoenix Suns']","{'Los Angeles Clippers': 103, 'Phoenix Suns': 130}"
9,,Atlanta Hawks - Milwaukee Bucks,2021-06-30 00:30:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Milwaukee Bucks']","{'Atlanta Hawks': 110, 'Milwaukee Bucks': 88}"
10,,Phoenix Suns - Los Angeles Clippers,2021-06-29 01:00:00+00:00,basketball,NBA,"['Phoenix Suns', 'Los Angeles Clippers']","{'Phoenix Suns': 102, 'Los Angeles Clippers': 116}"
11,,Atlanta Hawks - Milwaukee Bucks,2021-06-28 00:30:00+00:00,basketball,NBA,"['Atlanta Hawks', 'Milwaukee Bucks']","{'Atlanta Hawks': 102, 'Milwaukee Bucks': 113}"
