,id,name,start_timestamp,sport,league,teams,scores
0,,Boston Celtics - Golden State Warriors,2022-06-17 01:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Golden State Warriors']","{'Boston Celtics': 90, 'Golden State Warriors': 103}"
1,,Golden State Warriors - Boston Celtics,2022-06-14 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Boston Celtics']","{'Golden State Warriors': 104, 'Boston Celtics': 94}"
2,,Boston Celtics - Golden State Warriors,2022-06-11 01:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Golden State Warriors']","{'Boston Celtics': 97, 'Golden State Warriors': 107}"
3,,Boston Celtics - Golden State Warriors,2022-06-09 01:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Golden State Warriors']","{'Boston Celtics': 116, 'Golden State Warriors': 100}"
4,,Golden State Warriors - Boston Celtics,2022-06-06 00:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Boston Celtics']","{'Golden State Warriors': 107, 'Boston Celtics': 88}"
5,,Golden State Warriors - Boston Celtics,2022-06-03 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Boston Celtics']","{'Golden State Warriors': 108, 'Boston Celtics': 120}"
6,,Miami Heat - Boston Celtics,2022-05-30 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Boston Celtics']","{'Miami Heat': 96, 'Boston Celtics': 100}"
7,,Boston Celtics - Miami Heat,2022-05-28 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Miami Heat']","{'Boston Celtics': 103, 'Miami Heat': 111}"
8,,Golden State Warriors - Dallas Mavericks,2022-05-27 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Dallas Mavericks']","{'Golden State Warriors': 120, 'Dallas Mavericks': 110}"
9,,Miami Heat - Boston Celtics,2022-05-26 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Boston Celtics']","{'Miami Heat': 80, 'Boston Celtics': 93}"
10,,Dallas Mavericks - Golden State Warriors,2022-05-25 01:00:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Golden State Warriors']","{'Dallas Mavericks': 119, 'Golden State Warriors': 109}"
11,,Boston Celtics - Miami Heat,2022-05-24 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Miami Heat']","{'Boston Celtics': 102, 'Miami Heat': 82}"
12,,Dallas Mavericks - Golden State Warriors,2022-05-23 01:00:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Golden State Warriors']","{'Dallas Mavericks': 100, 'Golden State Warriors': 109}"
13,,Boston Celtics - Miami Heat,2022-05-22 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Miami Heat']","{'Boston Celtics': 103, 'Miami Heat': 109}"
14,,Golden State Warriors - Dallas Mavericks,2022-05-21 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Dallas Mavericks']","{'Golden State Warriors': 126, 'Dallas Mavericks': 117}"
15,,Miami Heat - Boston Celtics,2022-05-20 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Boston Celtics']","{'Miami Heat': 102, 'Boston Celtics': 127}"
16,,Golden State Warriors - Dallas Mavericks,2022-05-19 01:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Dallas Mavericks']","{'Golden State Warriors': 112, 'Dallas Mavericks': 87}"
17,,Miami Heat - Boston Celtics,2022-05-18 00:30:00+00:00,basketball,NBA,"['Miami Heat', 'Boston Celtics']","{'Miami Heat': 118, 'Boston Celtics': 107}"
18,,Phoenix Suns - Dallas Mavericks,2022-05-16 00:00:00+00:00,basketball,NBA,"['Phoenix Suns', 'Dallas Mavericks']","{'Phoenix Suns': 90, 'Dallas Mavericks': 123}"
19,,Boston Celtics - Milwaukee Bucks,2022-05-15 19:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Milwaukee Bucks']","{'Boston Celtics': 109, 'Milwaukee Bucks': 81}"
20,,Golden State Warriors - Memphis Grizzlies,2022-05-14 02:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Memphis Grizzlies']","{'Golden State Warriors': 110, 'Memphis Grizzlies': 96}"
21,,Milwaukee Bucks - Boston Celtics,2022-05-13 23:30:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Boston Celtics']","{'Milwaukee Bucks': 95, 'Boston Celtics': 108}"
22,,Dallas Mavericks - Phoenix Suns,2022-05-13 01:30:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Phoenix Suns']","{'Dallas Mavericks': 113, 'Phoenix Suns': 86}"
23,,Philadelphia 76ers - Miami Heat,2022-05-12 23:00:00+00:00,basketball,NBA,"['Philadelphia 76ers', 'Miami Heat']","{'Philadelphia 76ers': 90, 'Miami Heat': 99}"
24,,Memphis Grizzlies - Golden State Warriors,2022-05-12 01:30:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'Golden State Warriors']","{'Memphis Grizzlies': 134, 'Golden State Warriors': 95}"
25,,Boston Celtics - Milwaukee Bucks,2022-05-11 23:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Milwaukee Bucks']","{'Boston Celtics': 107, 'Milwaukee Bucks': 110}"
26,,Phoenix Suns - Dallas Mavericks,2022-05-11 02:00:00+00:00,basketball,NBA,"['Phoenix Suns', 'Dallas Mavericks']","{'Phoenix Suns': 110, 'Dallas Mavericks': 80}"
27,,Miami Heat - Philadelphia 76ers,2022-05-10 23:30:00+00:00,basketball,NBA,"['Miami Heat', 'Philadelphia 76ers']","{'Miami Heat': 120, 'Philadelphia 76ers': 85}"
28,,Golden State Warriors - Memphis Grizzlies,2022-05-10 02:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Memphis Grizzlies']","{'Golden State Warriors': 101, 'Memphis Grizzlies': 98}"
29,,Milwaukee Bucks - Boston Celtics,2022-05-09 23:30:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Boston Celtics']","{'Milwaukee Bucks': 108, 'Boston Celtics': 116}"
30,,Philadelphia 76ers - Miami Heat,2022-05-09 00:00:00+00:00,basketball,NBA,"['Philadelphia 76ers', 'Miami Heat']","{'Philadelphia 76ers': 116, 'Miami Heat': 108}"
31,,Dallas Mavericks - Phoenix Suns,2022-05-08 19:30:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Phoenix Suns']","{'Dallas Mavericks': 111, 'Phoenix Suns': 101}"
32,,Golden State Warriors - Memphis Grizzlies,2022-05-08 00:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Memphis Grizzlies']","{'Golden State Warriors': 142, 'Memphis Grizzlies': 112}"
33,,Milwaukee Bucks - Boston Celtics,2022-05-07 19:30:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Boston Celtics']","{'Milwaukee Bucks': 103, 'Boston Celtics': 101}"
34,,Dallas Mavericks - Phoenix Suns,2022-05-07 01:30:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Phoenix Suns']","{'Dallas Mavericks': 103, 'Phoenix Suns': 94}"
35,,Philadelphia 76ers - Miami Heat,2022-05-06 23:00:00+00:00,basketball,NBA,"['Philadelphia 76ers', 'Miami Heat']","{'Philadelphia 76ers': 99, 'Miami Heat': 79}"
36,,Phoenix Suns - Dallas Mavericks,2022-05-05 02:00:00+00:00,basketball,NBA,"['Phoenix Suns', 'Dallas Mavericks']","{'Phoenix Suns': 129, 'Dallas Mavericks': 109}"
37,,Miami Heat - Philadelphia 76ers,2022-05-04 23:30:00+00:00,basketball,NBA,"['Miami Heat', 'Philadelphia 76ers']","{'Miami Heat': 119, 'Philadelphia 76ers': 103}"
38,,Memphis Grizzlies - Golden State Warriors,2022-05-04 01:30:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'Golden State Warriors']","{'Memphis Grizzlies': 106, 'Golden State Warriors': 101}"
39,,Boston Celtics - Milwaukee Bucks,2022-05-03 23:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Milwaukee Bucks']","{'Boston Celtics': 109, 'Milwaukee Bucks': 86}"
40,,Phoenix Suns - Dallas Mavericks,2022-05-03 02:00:00+00:00,basketball,NBA,"['Phoenix Suns', 'Dallas Mavericks']","{'Phoenix Suns': 121, 'Dallas Mavericks': 114}"
41,,Miami Heat - Philadelphia 76ers,2022-05-02 23:30:00+00:00,basketball,NBA,"['Miami Heat', 'Philadelphia 76ers']","{'Miami Heat': 106, 'Philadelphia 76ers': 92}"
42,,Memphis Grizzlies - Golden State Warriors,2022-05-01 19:30:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'Golden State Warriors']","{'Memphis Grizzlies': 116, 'Golden State Warriors': 117}"
43,,Boston Celtics - Milwaukee Bucks,2022-05-01 17:00:00+00:00,basketball,NBA,"['Boston Celtics', 'Milwaukee Bucks']","{'Boston Celtics': 89, 'Milwaukee Bucks': 101}"
44,,Minnesota Timberwolves - Memphis Grizzlies,2022-04-30 01:00:00+00:00,basketball,NBA,"['Minnesota Timberwolves', 'Memphis Grizzlies']","{'Minnesota Timberwolves': 106, 'Memphis Grizzlies': 114}"
45,,Utah Jazz - Dallas Mavericks,2022-04-29 02:00:00+00:00,basketball,NBA,"['Utah Jazz', 'Dallas Mavericks']","{'Utah Jazz': 96, 'Dallas Mavericks': 98}"
46,,New Orleans Pelicans - Phoenix Suns,2022-04-28 23:30:00+00:00,basketball,NBA,"['New Orleans Pelicans', 'Phoenix Suns']","{'New Orleans Pelicans': 109, 'Phoenix Suns': 115}"
47,,Toronto Raptors - Philadelphia 76ers,2022-04-28 23:00:00+00:00,basketball,NBA,"['Toronto Raptors', 'Philadelphia 76ers']","{'Toronto Raptors': 97, 'Philadelphia 76ers': 132}"
48,,Golden State Warriors - Denver Nuggets,2022-04-28 02:00:00+00:00,basketball,NBA,"['Golden State Warriors', 'Denver Nuggets']","{'Golden State Warriors': 102, 'Denver Nuggets': 98}"
49,,Milwaukee Bucks - Chicago Bulls,2022-04-27 23:30:00+00:00,basketball,NBA,"['Milwaukee Bucks', 'Chicago Bulls']","{'Milwaukee Bucks': 116, 'Chicago Bulls': 100}"
50,,Phoenix Suns - New Orleans Pelicans,2022-04-27 02:00:00+00:00,basketball,NBA,"['Phoenix Suns', 'New Orleans Pelicans']","{'Phoenix Suns': 112, 'New Orleans Pelicans': 97}"
51,,Memphis Grizzlies - Minnesota Timberwolves,2022-04-26 23:30:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'Minnesota Timberwolves']","{'Memphis Grizzlies': 111, 'Minnesota Timberwolves': 109}"
52,,Miami Heat - Atlanta Hawks,2022-04-26 23:00:00+00:00,basketball,NBA,"['Miami Heat', 'Atlanta Hawks']","{'Miami Heat': 97, 'Atlanta Hawks': 94}"
53,,Dallas Mavericks - Utah Jazz,2022-04-26 01:30:00+00:00,basketball,NBA,"['Dallas Mavericks', 'Utah Jazz']","{'Dallas Mavericks': 102, 'Utah Jazz': 77}"
54,,Philadelphia 76ers - Toronto Raptors,2022-04-26 00:00:00+00:00,basketball,NBA,"['Philadelphia 76ers', 'Toronto Raptors']","{'Philadelphia 76ers': 88, 'Toronto Raptors': 103}"
55,,Brooklyn Nets - Boston Celtics,2022-04-25 23:00:00+00:00,basketball,NBA,"['Brooklyn Nets', 'Boston Celtics']","{'Brooklyn Nets': 112, 'Boston Celtics': 116}"
